name,responsible,address,phone,email
Magalhões LTDA,Jocelia Selma,Rua Costa Silva Bairro Meireles,98588551452,jocelia@magalhoes.com
Silva Comércio,Marcelo Silva,Rua das Palmeiras 456 Bairro Jardim,98456231452,marcelo@silvacomercio.com
Almeida & Filhos,Ana Almeida,Rua do Sol 123 Bairro Centro,98323451234,ana@almeida.com
Ferreira Indústria,Carlos Ferreira,Rua das Flores 789 Bairro Floresta,98234567654,carlos@ferreiraind.com
Costa Construções,Renata Costa,Avenida Central 987 Bairro Horizonte,98123457890,renata@costaconstr.com
Mendes Serviços,Julio Mendes,Rua das Acácias 456 Bairro Primavera,98012346578,julio@mendesservicos.com
Ribeiro Transportes,Sofia Ribeiro,Rua das Rosas 123 Bairro Jardim,97987654321,sofia@ribeirotransp.com
Souza Tecnologia,Fernando Souza,Rua do Lago 789 Bairro Lagoa,97876543210,fernando@souzatec.com
Silva e Silva,Lucas Silva,Rua das Hortênsias 321 Bairro Jardim das Flores,97765432109,lucas@silvaesilva.com
Oliveira & Associados,Mariana Oliveira,Rua das Tulipas 654 Bairro Jardim Botânico,97654321098,mariana@oliveiraassociados.com
Lima Comércio,Pedro Lima,Rua das Magnólias 987 Bairro Jardim Primavera,97543210987,pedro@limacomercio.com
Barros Imóveis,Julia Barros,Rua dos Girassóis 123 Bairro Alto,97432109876,julia@barrosimoveis.com
Gomes Automóveis,Rafael Gomes,Avenida Atlântica 456 Bairro Litoral,97321098765,rafael@gomesauto.com
Santos Segurança,Carla Santos,Rua da Praia 789 Bairro Mar Azul,97210987654,carla@santosseg.com
Alves Engenharia,Bruno Alves,Rua das Palmeiras 321 Bairro Verde,97109876543,bruno@alveseng.com
Correia & Filhos,Fabiana Correia,Rua das Orquídeas 456 Bairro Jardim das Flores,97098765432,fabiana@correiafilhos.com
Lopes Consultoria,Marcos Lopes,Rua dos Ipês 789 Bairro Planalto,96987654321,marcos@lopesconsultoria.com
Pereira Serviços,Beatriz Pereira,Rua das Acácias 123 Bairro Primavera,96876543210,beatriz@pereiraserv.com
Rocha Móveis,André Rocha,Rua das Magnólias 456 Bairro Jardim das Flores,96765432109,andre@rochamoveis.com
Gonçalves Moda,Camila Gonçalves,Rua das Palmeiras 987 Bairro Verde,96654321098,camila@goncalvesmoda.com
Santos e Santos,Luiz Santos,Rua dos Ipês 123 Bairro Jardim Botânico,96543210987,luiz@santosesantos.com
Medeiros Construção,Paulo Medeiros,Rua das Hortênsias 456 Bairro Jardim das Flores,96432109876,paulo@medeirosconstr.com
Silva & Costa,Maria Silva,Rua do Sol 789 Bairro Centro,96321098765,maria@silvacosta.com
Martins Educação,João Martins,Rua do Lago 123 Bairro Lagoa,96210987654,joao@martinsedu.com
Azevedo Logística,Juliana Azevedo,Rua das Rosas 456 Bairro Jardim,96109876543,juliana@azevedologistica.com
Nunes Advocacia,Ricardo Nunes,Rua das Tulipas 789 Bairro Jardim Botânico,96098765432,ricardo@nunesadv.com
Fernandes Turismo,Larissa Fernandes,Rua das Magnólias 123 Bairro Jardim Primavera,95987654321,larissa@fernandestur.com
Monteiro Serviços,Ana Monteiro,Rua dos Girassóis 456 Bairro Alto,95876543210,ana@monteiroserv.com
Cardoso Tecnologia,Fernando Cardoso,Rua das Palmeiras 987 Bairro Verde,95765432109,fernando@cardosotec.com
Almeida & Silva,Patrícia Almeida,Rua das Hortênsias 123 Bairro Jardim das Flores,95654321098,patricia@almeidasilva.com
Sousa Comércio,Gustavo Sousa,Rua das Rosas 789 Bairro Jardim,95543210987,gustavo@sousacomercio.com
Lima & Filhos,Roberta Lima,Rua dos Ipês 321 Bairro Jardim Botânico,95432109876,roberta@limaefilhos.com
Campos Automóveis,Thiago Campos,Rua das Orquídeas 654 Bairro Jardim das Flores,95321098765,thiago@camposauto.com
Oliveira & Rocha,Lucas Oliveira,Rua do Lago 987 Bairro Lagoa,95210987654,lucas@oliveirarocha.com
Barbosa Seguros,Sandra Barbosa,Rua das Magnólias 123 Bairro Jardim Primavera,95109876543,sandra@barbosaseguros.com
Teixeira Consultoria,Felipe Teixeira,Rua dos Girassóis 456 Bairro Alto,95098765432,felipe@teixeiraconsultoria.com
Costa e Costa,Isabela Costa,Rua das Hortênsias 789 Bairro Jardim das Flores,94987654321,isabela@costaecosta.com
Alves e Associados,Renato Alves,Rua das Rosas 987 Bairro Jardim,94876543210,renato@alvesassociados.com
Freitas Logística,Joana Freitas,Rua das Tulipas 123 Bairro Jardim Botânico,94765432109,joana@freitaslogistica.com
